pathogen_id,pathogen_name,n_samples,mean_cr_baseline,mean_cr_peak,mean_cr_increase,mean_egfr_decline,aki_stage_3_freq,hyperkalemia_freq,proteinuria_mean,bun_cr_ratio_mean
0,Staph aureus,578,1.010394312940834,1.679511193019558,0.669116880078724,43.806642986080895,0.020761245674740483,0.0017301038062283738,1.746416034656472,18.522124298657893
1,E. coli,575,1.0214305949817062,2.4928356449823537,1.471405050000648,63.842734639886764,0.30434782608695654,0.006956521739130435,0.2600750228965159,18.424722025927014
2,Klebsiella,585,0.9961404046162332,2.4448030799005367,1.4486626752843033,65.95251239371987,0.29572649572649573,0.008547008547008548,0.24277856207423623,18.523797083375424
3,Acinetobacter,595,1.0294376093610556,2.5447456398582626,1.5153080304972073,64.5241516539188,0.30084033613445377,0.0067226890756302525,0.24123823762301264,18.39562561564179
4,Pseudomonas,599,1.0092578557968606,2.508606315252667,1.4993484594558066,65.53101320511561,0.32220367278797996,0.01001669449081803,0.2505497113438665,18.285133922541387
5,Streptococcus,575,0.9949006642084699,1.69625365744454,0.70135299323607,46.8118859391585,0.02434782608695652,0.0017391304347826088,0.24815919656539173,18.50614143479555
6,Enterococcus,602,1.0324124090644198,1.75181515891184,0.7194027498474205,45.5329500491421,0.024916943521594685,0.0,0.2516168464142105,18.61982007303971
7,Candida/Fungal,582,0.990908273274548,1.7944083317571513,0.8035000584826033,50.964304473436755,0.0429553264604811,0.001718213058419244,1.259624925823528,18.267577104380297
8,Viral,563,1.011594189212642,1.3172935968726676,0.30569940766002557,24.70340931535668,0.0,0.0,0.2423448244201445,18.66360780488769
9,Other/Mixed,602,1.0192477227550556,1.7076554749658082,0.6884077522107527,45.21311546863456,0.023255813953488372,0.0,0.25557961823795705,18.532757595646107
